,number,value,datetime_start,datetime_complete,duration,params_dim_hidden,params_n_layers,params_w0,state
0,0,,2022-12-13 19:28:10.122150,2022-12-13 19:28:10.153635,0 days 00:00:00.031485,192,3,,FAIL
1,1,,2022-12-13 19:32:47.784355,2022-12-13 19:32:47.815213,0 days 00:00:00.030858,64,6,,FAIL
2,2,0.11760132759809494,2022-12-13 19:36:37.029311,2022-12-13 19:37:26.906455,0 days 00:00:49.877144,128,5,2.987123622840406,COMPLETE
3,3,0.4014874994754791,2022-12-13 19:37:26.933983,2022-12-13 19:38:13.562143,0 days 00:00:46.628160,128,2,60.74259454799483,COMPLETE
4,4,0.5567390322685242,2022-12-13 19:38:13.590475,2022-12-13 19:39:00.739950,0 days 00:00:47.149475,64,6,52.150337098473855,COMPLETE
5,5,0.08932856470346451,2022-12-13 19:39:00.765942,2022-12-13 19:39:49.960257,0 days 00:00:49.194315,128,6,57.352410835762356,COMPLETE
6,6,0.07979937642812729,2022-12-13 19:39:49.986163,2022-12-13 19:40:41.377667,0 days 00:00:51.391504,192,5,42.63201352852065,COMPLETE
7,7,0.0584544874727726,2022-12-13 19:40:41.405403,2022-12-13 19:41:36.176342,0 days 00:00:54.770939,256,5,18.50141791550134,COMPLETE
8,8,0.6011300086975098,2022-12-13 19:41:36.202705,2022-12-13 19:42:22.337559,0 days 00:00:46.134854,64,3,29.783489491638264,COMPLETE
9,9,0.20804433524608612,2022-12-13 19:42:22.361781,2022-12-13 19:43:09.574112,0 days 00:00:47.212331,128,3,7.336627556333202,COMPLETE
10,10,0.26617366075515747,2022-12-13 19:43:09.600452,2022-12-13 19:43:56.657260,0 days 00:00:47.056808,128,3,53.579457813114274,COMPLETE
11,11,0.5821059942245483,2022-12-13 19:43:56.685840,2022-12-13 19:44:42.351589,0 days 00:00:45.665749,64,5,28.64775025630721,COMPLETE
12,12,0.7536730170249939,2022-12-13 19:44:42.372923,2022-12-13 19:45:27.890217,0 days 00:00:45.517294,256,1,18.435906498309304,COMPLETE
13,13,0.05535134673118591,2022-12-13 19:45:27.914241,2022-12-13 19:46:23.327233,0 days 00:00:55.412992,256,5,43.788166342656744,COMPLETE
14,14,0.03145192191004753,2022-12-13 19:46:23.354047,2022-12-13 19:47:14.931855,0 days 00:00:51.577808,256,4,17.253082275847582,COMPLETE
15,15,0.06289549171924591,2022-12-13 19:47:14.956964,2022-12-13 19:48:05.036092,0 days 00:00:50.079128,256,4,41.07991838200571,COMPLETE
16,16,0.06543423980474472,2022-12-13 19:48:05.062382,2022-12-13 19:48:52.320252,0 days 00:00:47.257870,192,4,21.64708798770437,COMPLETE
17,17,0.08097348362207413,2022-12-13 19:48:52.341878,2022-12-13 19:49:38.955625,0 days 00:00:46.613747,192,4,69.95813789787576,COMPLETE
18,18,0.0822773426771164,2022-12-13 19:49:38.982909,2022-12-13 19:50:34.421686,0 days 00:00:55.438777,256,6,39.501741797752985,COMPLETE
19,19,0.3083866238594055,2022-12-13 19:50:34.442751,2022-12-13 19:51:17.817412,0 days 00:00:43.374661,192,2,9.180187783575542,COMPLETE
20,20,0.0376146025955677,2022-12-13 19:51:17.845189,2022-12-13 19:52:07.683382,0 days 00:00:49.838193,256,4,27.24021580284065,COMPLETE
21,21,0.18581128120422363,2022-12-13 19:52:07.710178,2022-12-13 19:52:53.023614,0 days 00:00:45.313436,256,2,29.544603742009357,COMPLETE
